Company,Date,PercentChange,previous_1,previous_2,previous_3,previous_4,previous_5,AverageTweet,AverageComment,DJChange,DJHigh,DJLow,VolumeTraded
$MMM,2018-11-26,0.6496415564041114,-0.4854325858331985,-0.4957883967786592,-1.5080102645673727,-1.0826155897496592,2.8340849986001766,0.03237854628000001,0.375,-0.0020730264131096103,24408.8,24268.74,155940000
$MMM,2018-11-27,0.7884729623937357,0.6496415564041114,-0.4854325858331985,-0.4957883967786592,-1.5080102645673727,-1.0826155897496592,0.04233081518749998,-0.1,0.011332643521439123,24673.29,24364.13,306280000
$MMM,2018-11-28,1.163419367700395,0.7884729623937357,0.6496415564041114,-0.4854325858331985,-0.4957883967786592,-1.5080102645673727,0.0285235430673077,0.0,0.007806728992361415,24750.73,24416.03,308250000
$MMM,2018-11-29,0.338452179296726,1.163419367700395,0.7884729623937357,0.6496415564041114,-0.4854325858331985,-0.4957883967786592,0.02668654705952381,0.0,0.021487272498836224,25368.93,24832.84,362160000
$MMM,2018-11-30,1.742022679566103,0.338452179296726,1.163419367700395,0.7884729623937357,0.6496415564041114,-0.4854325858331985,0.012099464166666664,0.026315789500000002,-0.00018979113111178972,25479.04,25202.79,305110000
$AXP,2018-11-26,2.3611747487337453,-0.13222458753314534,0.12221232496127385,-1.357514339785344,-1.50136624474056,0.8104597887069505,0.02400994061111111,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$AXP,2018-11-27,0.5570781829694634,2.3611747487337453,-0.13222458753314534,0.12221232496127385,-1.357514339785344,-1.50136624474056,0.020445331782608687,0.033384885307692305,0.011332643521439123,24673.29,24364.13,306280000
$AXP,2018-11-28,2.320309540567038,0.5570781829694634,2.3611747487337453,-0.13222458753314534,0.12221232496127385,-1.357514339785344,0.026109516792452835,0.020000000000000004,0.007806728992361415,24750.73,24416.03,308250000
$AXP,2018-11-29,-0.6160736083984375,2.320309540567038,0.5570781829694634,2.3611747487337453,-0.13222458753314534,0.12221232496127385,-0.0080413562,0.02696078429411765,0.021487272498836224,25368.93,24832.84,362160000
$AXP,2018-11-30,1.7214767139644875,-0.6160736083984375,2.320309540567038,0.5570781829694634,2.3611747487337453,-0.13222458753314534,0.008794611268595036,0.04185402629999999,-0.00018979113111178972,25479.04,25202.79,305110000
$AAPL,2018-11-26,0.21808402895071394,-1.5148102882649848,-1.6413492563112408,-0.7792787058917731,-2.1789470471833883,1.5905505403133202,0.0,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$AAPL,2018-11-27,1.5917503782669145,0.21808402895071394,-1.5148102882649848,-1.6413492563112408,-0.7792787058917731,-2.1789470471833883,0.0,0.0,0.011332643521439123,24673.29,24364.13,306280000
$AAPL,2018-11-28,2.38216874081617,1.5917503782669145,0.21808402895071394,-1.5148102882649848,-1.6413492563112408,-0.7792787058917731,0.0,0.010375494249999999,0.007806728992361415,24750.73,24416.03,308250000
$AAPL,2018-11-29,-1.7026171838387492,2.38216874081617,1.5917503782669145,0.21808402895071394,-1.5148102882649848,-1.6413492563112408,0.0,0.0,0.021487272498836224,25368.93,24832.84,362160000
$AAPL,2018-11-30,-0.9484672021503984,-1.7026171838387492,2.38216874081617,1.5917503782669145,0.21808402895071394,-1.5148102882649848,0.0,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$BA,2018-11-26,0.25351368968121724,-0.8507913256448414,-2.3841018320309986,5.163854944832484,-4.354041389677155,-0.8997014138550885,0.0,-0.08492063491666667,-0.0020730264131096103,24408.8,24268.74,155940000
$BA,2018-11-27,0.8722405514613892,0.25351368968121724,-0.8507913256448414,-2.3841018320309986,5.163854944832484,-4.354041389677155,0.0,-0.0021751910555555557,0.011332643521439123,24673.29,24364.13,306280000
$BA,2018-11-28,2.3885542030393343,0.8722405514613892,0.25351368968121724,-0.8507913256448414,-2.3841018320309986,5.163854944832484,0.01388687906944445,-0.016974965744444438,0.007806728992361415,24750.73,24416.03,308250000
$BA,2018-11-29,1.9614835592305067,2.3885542030393343,0.8722405514613892,0.25351368968121724,-0.8507913256448414,-2.3841018320309986,0.02284898500778209,0.03203092736082475,0.021487272498836224,25368.93,24832.84,362160000
$BA,2018-11-30,1.4096061559936062,1.9614835592305067,2.3885542030393343,0.8722405514613892,0.25351368968121724,-0.8507913256448414,0.015247954372483217,0.009807744926478568,-0.00018979113111178972,25479.04,25202.79,305110000
$CAT,2018-11-26,0.9300457029417994,0.2951792497983021,0.8549121107041177,-1.2757382725239472,-2.4545030502220357,0.9084660988644944,0.025013422098039213,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$CAT,2018-11-27,0.4838697371944305,0.9300457029417994,0.2951792497983021,0.8549121107041177,-1.2757382725239472,-2.4545030502220357,0.016808219750000002,0.076893939375,0.011332643521439123,24673.29,24364.13,306280000
$CAT,2018-11-28,4.365523613310389,0.4838697371944305,0.9300457029417994,0.2951792497983021,0.8549121107041177,-1.2757382725239472,0.010152432810526316,0.018021181022727272,0.007806728992361415,24750.73,24416.03,308250000
$CAT,2018-11-29,-0.4357854059018615,4.365523613310389,0.4838697371944305,0.9300457029417994,0.2951792497983021,0.8549121107041177,0.01614265780666667,0.028297466420238095,0.021487272498836224,25368.93,24832.84,362160000
$CAT,2018-11-30,4.321410984474051,-0.4357854059018615,4.365523613310389,0.4838697371944305,0.9300457029417994,0.2951792497983021,0.020102308021428573,0.09068061857142858,-0.00018979113111178972,25479.04,25202.79,305110000
