Company,Date,Tweet
$HD,11/29/18 16:01,"RT @Greenbackd: Joel Greenblattâ€™s Gotham Asset Management Top Ten Positions at 9-30-2018: 

1. $WMT Walmart
2. $AAPL Apple
3. $VZ Verizon
4â€¦"
$HD,11/29/18 16:00,"RT @Greenbackd: Joel Greenblattâ€™s Gotham Asset Management Top Ten Positions at 9-30-2018: 

1. $WMT Walmart
2. $AAPL Apple
3. $VZ Verizon
4â€¦"
$HD,11/29/18 16:00,"Joel Greenblattâ€™s Gotham Asset Management Top Ten Positions at 9-30-2018: 

1. $WMT Walmart
2. $AAPL Apple
3. $VZ Vâ€¦ https://t.co/PoQz85Ik8P"
$HD,11/29/18 15:37,"Partnervest Advisory Services Increased Its Amazon Com $AMZN Position by $324,700; Market Value Rose; Crystal Rockâ€¦ https://t.co/pFjxqnMwOJ"
$HD,11/29/18 15:34,Shareholder Oceanic Investment Management LTD Has Increased Capital Product Partners LP $CPLP Stake; As Home Depotâ€¦ https://t.co/OvMUkG9gKi
$HD,11/29/18 14:53,Home Depot Inc: Heavy volume for Home Depot (The) stock. $HD https://t.co/JByrq6l9Oq https://t.co/bQ5zrArUlx
$HD,11/29/18 14:45,"Home Depot Is Starting To Look Attractive Again https://t.co/Ln1fp0KqJ4 $HD, $AMZN Great Dividend Stock BUY HD!"
$HD,11/29/18 14:40,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/TbfBaIVfRz $TGT $LOW $LB $HD https://t.co/FD0diTnO35
$HD,11/29/18 14:34,How many times do you think Powell will raise rate in 2019? $SPY $DIA $UCO $GLD $IWM $XLK $XLE $XLF $XLY $XLP $XLVâ€¦ https://t.co/SPJhfkOZZV
$HD,11/29/18 14:18,Home Depot INC $HD Position Has Raised by American International Group Inc - https://t.co/aYnbiQ7vnP
$HD,11/29/18 14:17,"As Home Depot INC $HD Market Value Rose, American International Group INC Has Upped by $11.30 Million Its Holding - https://t.co/GO7YUwK1KX"
$HD,11/29/18 14:16,American International Group INC Holds Holding in Home Depot INC $HD https://t.co/XAqt3ztphF
$HD,11/29/18 14:15,Home Depot INC $HD Shareholder American International Group INC Raised Holding by $11.30 Million - https://t.co/VtYCBc4HTo
$HD,11/29/18 14:10,$ABT $ALL $C $CVX $GE $MET $HPE $HD $V $MA $NKE $MELI $ATVI $VRSK $FISV $ASML $INTC $TTWO $MU $ADBE $SNPS $CHTRâ€¦ https://t.co/8qx37t9TzU
$HD,11/29/18 13:59,"MACD(12, 26, 9) Bull Crossover Stock: $ABT, $CSCO, $CVX, $ET, $FCX, $HD, $LOW, $MU"
$HD,11/29/18 13:56,"$IVST Float 11,796,710 as of 08/16/2018 $IBB #Biotechnology #FDA #biotech $GILD $BMY $JNJ $MRK $NVS $PFE $BSX $CAT $HD $NVDA $GOOG"
$HD,11/29/18 13:52,"What Jerome Powell said yesterday to cause a stock market rebound. https://t.co/LnHRmxOFrV via @YouTube

$cl
$esâ€¦ https://t.co/ZpQiQPmcxy"
$HD,11/29/18 13:46,"$IVST Float 11,796,710 as of 08/16/2018 $IBB #Biotechnology #FDA #biotech $GILD $BMY $JNJ $MRK $NVS $PFE $BSX $CAT $HD $NVDA"
$HD,11/29/18 13:43,RT @PennyStockGang: $IVST Innovest Global Announces Elite Biotech Team https://t.co/9SnhhDqwnX $IBB #Biotechnology #FDA #biotech $GILD $BMYâ€¦
$HD,11/29/18 13:41,RT @PennyStockGang: $IVST Innovest Global Announces Elite Biotech Team https://t.co/9SnhhDqwnX $IBB #Biotechnology #FDA #biotech $GILD $BMYâ€¦
$HD,11/29/18 13:19,"$IVST Float 11,796,710 as of 08/16/2018 $IBB #Biotechnology #FDA #biotech $GILD $BMY $JNJ $MRK $NVS $PFE $BSX $CAT $HD"
$HD,11/29/18 13:17,$IVST Innovest Global Announces Elite Biotech Team https://t.co/9SnhhDqwnX $IBB #Biotechnology #FDA #biotech $GILDâ€¦ https://t.co/Ow7RNlbetr
$HD,11/29/18 13:10,$IVST Innovest Global Announces Elite Biotech Team https://t.co/gj5PQR54ty $SPY $AAPL $NVDA $BIDU $FB $HD $CAT $MSFT $INTC $BAC
