Company,Date,Tweet
$HD,11/28/18,"$MS $BEN
$EARN $ONE $ALL $HUBS $AGO
$I $ATE $HD"
$HD,11/28/18,"RT @FoolMCochrane: In 5 yrs time, I doubt we will be thinking about how the #housing cycle was in late '18 or this quarter's margins. No, Iâ€¦"
$HD,11/28/18,"$LOW (@Lowes) is a good company, but itâ€™s not $HD (@HomeDepot).

https://t.co/8JBoACjrBX"
$HD,11/28/18,@ljzaz @hks55 $HD
$HD,11/28/18,@lziics $HD
$HD,11/28/18,Long 1000 shares of $HD at $171.25 for a swing trade.
$HD,11/28/18,$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/cFrYGKmKlS
$HD,11/28/18,$HD Took some off @ 172.20 . Stop moved on rest to 171.50
$HD,11/28/18,$HD: DEC 175 CALL Activity .. 1k @$3.60 by OFFER .. Expire DEC 28
$HD,11/28/18,$PCG $VALE $ROKU $ADSK $BBY $HD $ROKU $NFLX $PYPL lows
$HD,11/28/18,"$HD Due to strong D/T stock may remain oversold for a while; Flat MoMo, S 172.09, close over R 180.27 puts 184.27 iâ€¦ https://t.co/3xfKL4EevO"
$HD,11/28/18,"$WMT $HD $AMZN $DLTR $TGT American retailers pressure Chinese suppliers amid tariffs, WSJ reports  Big American retâ€¦ https://t.co/fobRKVzEQE"
$HD,11/28/18,"$WMT $HD $AMZN $DLTR $TGT American retailers pressure Chinese suppliers amid tariffs, WSJ reports  Big American retâ€¦ https://t.co/eNZPC2Q8qv"
$HD,11/28/18,$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/JeGQyCT3Ne
$HD,11/28/18,$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/1G3JxUcEPX
$HD,11/28/18,"Fundamental research predicted weakness in $HD long in advance, let's start talking about $HUM..."
$HD,11/28/18,"As Home Depot INC $HD Stock Rose, Hl Financial Services LLC Increased Holding - https://t.co/8XQYCwvoTM"
$HD,11/28/18,"As Home Depot INC $HD Stock Price Rose, Hl Financial Services LLC Has Increased Position - https://t.co/u0eEY0Htis"
$HD,11/28/18,Hl Financial Services LLC Maintains Stake in Home Depot INC $HD https://t.co/tyjp7UrIin
$HD,11/28/18,$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/9BIJ4eLV0M
$HD,11/28/18,Holder Hl Financial Services LLC Lifted Home Depot INC $HD Holding - https://t.co/fgySCA2LbL
$HD,11/28/18,"Stock market awaits Powell speech as equities recover https://t.co/gqUxoIbOR7 via @YouTube

$cl
$es
$nq
$SVXY
$HDâ€¦ https://t.co/jekFRZUQSp"
$HD,11/28/18,"As Home Depot INC $HD Market Valuation Rose, Hl Financial Services LLC Has Raised Holding https://t.co/gg5hQtKLp0"
$HD,11/28/18,Try our swing trading service built for individuals who want to trade longer-term timeframes around their full-timeâ€¦ https://t.co/1zKHaQa9CY
$HD,11/28/18,"Week's Most Significant #Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTRâ€¦ https://t.co/QW1TeJEzce"
$HD,11/28/18,$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/mCF5Vx48LS
$HD,11/28/18,U.S. retailers prep for new tariffs $WMT $HD $TGT $DG https://t.co/rMHWh8peTv https://t.co/6xcOdrg7Up
$HD,11/28/18,"$WMT $HD $DG $TGT:

US retailers prep for new tariffs:

https://t.co/pg8daDPJHE"
$HD,11/28/18,"CannaGreed Featured: $GRWG $ACB GrowGeneration Corp Revenue up 86% to $20.0 million for 9 Months, Aurora Cannabis râ€¦ https://t.co/npxL1elm2h"
$HD,11/28/18,"$GRWG $ACB GrowGeneration Corp Revenue up 86% to $20.0 million for 9 Months, Aurora Cannabis revenue up 260% year oâ€¦ https://t.co/2CKuhIdqfc"
$HD,11/28/18,"$GRWG Darren Lampert, Co-Founder and CEO, said, ""This was another great quarter of growth for GrowGeneration, withâ€¦ https://t.co/XPkR1BuHtF"
$HD,11/28/18,"$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 millâ€¦ https://t.co/p1okjrmfrd"
$HD,11/28/18,"$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/FRxyGLJPAmâ€¦ https://t.co/lv7gpsFRAo"
$HD,11/28/18,"(US) U.S. Retailers reportedly take steps to adapt supplies from China - U.S. financial press

- Article piece mentâ€¦ https://t.co/ESat07n5Pm"
$HD,11/28/18,"$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponicsâ€¦ https://t.co/5S1Xa4wqT7"
$HD,11/28/18,"$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabisâ€¦ https://t.co/qceQEPRSa3"
$HD,11/28/18,$HD may see a sustained bounce here. Low of $167 may be stop-loss floor all traders put in. Heavy volume past two tâ€¦ https://t.co/UPqrIfJpI9
$HD,11/28/18,"$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hempâ€¦ https://t.co/3xVpZbj8ll"
$HD,11/28/18,"$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabisâ€¦ https://t.co/yOZHU1IPN8"
$HD,11/28/18,"$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponicsâ€¦ https://t.co/Gpa9Oo7POi"
$HD,11/28/18,"$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 millâ€¦ https://t.co/q5A7wgmrwR"
$HD,11/28/18,"$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/FRxyGLJPAmâ€¦ https://t.co/oAnyyUU6fI"
$HD,11/28/18,"$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hempâ€¦ https://t.co/PmONTCiuk8"
